Step,Selected_Site,A_hat,min_Ai,max_Ai,MD,MAD,CV,Gini
2,16,0.0031512924627554095,0.0,0.01133157296276733,0.008973517919551671,0.0027564099660218108,1.3363947851098599,1.6795076837841876
3,0,0.0026810600349292993,0.0,0.010357480490410355,0.007999425447194699,0.002366996399705519,1.1369794113343357,1.6104772810340506
4,17,0.002314628014431352,0.0,0.008875171852643124,0.006517116809427467,0.002101772237052064,0.9815835389808865,1.545274403216169
5,62,0.0019994860628193218,0.0,0.007770849057479082,0.005412794014263425,0.0017929554974887346,0.8479386724122613,1.4811012582984944
6,12,0.0017751463306283502,0.0,0.006895541203508669,0.004537486160293012,0.0015627742159433971,0.752801057691851,1.4304102143713493
7,80,0.0016336288071457771,0.0,0.006513697374774135,0.004155642331558478,0.001429976980132353,0.6927865453547739,1.3965572303890923
8,6,0.0015511648944138627,0.0,0.006308347238630818,0.003950292195415161,0.0013539784594582762,0.6578153885239905,1.3717954176115938
9,46,0.0014621476525417103,0.0,0.0060961402077454345,0.0037380851645297773,0.001261545772636445,0.6200651069399099,1.348177269934581
10,29,0.0013909611632653635,0.0,0.005821005774059104,0.0034629507308434468,0.0011753127723462507,0.5898764608007296,1.3293996529249767
